Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000250, 0.065986, 0.065986, 100.000000
0.000500, 0.065985, 0.065986, 99.997626
0.000750, 0.065985, 0.065986, 99.998238
0.001000, 0.065985, 0.065986, 99.998686
0.001250, 0.065986, 0.065986, 99.999134
0.001500, 0.065986, 0.065986, 99.999572
0.001750, 0.065986, 0.065986, 99.999993
0.002000, 0.065987, 0.065986, 100.000391
0.002250, 0.065987, 0.065986, 100.000765
0.002500, 0.065987, 0.065986, 100.001118
0.002750, 0.065987, 0.065986, 100.001458
0.003000, 0.065987, 0.065986, 100.001790
0.003250, 0.065988, 0.065986, 100.002116
0.003500, 0.065988, 0.065986, 100.002428
0.003750, 0.065988, 0.065986, 100.002711
0.004000, 0.065988, 0.065986, 100.003010
0.004250, 0.065988, 0.065986, 100.003186
0.004500, 0.065989, 0.065986, 100.003428
0.004750, 0.065989, 0.065986, 100.003645
0.005000, 0.065989, 0.065986, 100.003805
0.005250, 0.065989, 0.065986, 100.004031
0.005500, 0.065989, 0.065986, 100.004231
0.005750, 0.065989, 0.065986, 100.004457
0.006000, 0.065989, 0.065986, 100.004539
0.006250, 0.065989, 0.065986, 100.004681
0.006500, 0.065989, 0.065986, 100.004723
0.006750, 0.065989, 0.065986, 100.004813
0.007000, 0.065990, 0.065986, 100.005007
0.007250, 0.065990, 0.065986, 100.005322
0.007500, 0.065990, 0.065986, 100.005365
0.007750, 0.065990, 0.065986, 100.005444
0.008000, 0.065990, 0.065986, 100.005474
0.008250, 0.065990, 0.065986, 100.005525
0.008500, 0.065990, 0.065986, 100.005567
0.008750, 0.065990, 0.065986, 100.005612
0.009000, 0.065990, 0.065986, 100.005629
0.009250, 0.065990, 0.065986, 100.005641
0.009500, 0.065990, 0.065986, 100.005653
0.009750, 0.065990, 0.065986, 100.005782
0.010000, 0.065990, 0.065986, 100.005674
0.010250, 0.065990, 0.065986, 100.005661
0.010500, 0.065990, 0.065986, 100.005660
0.010750, 0.065990, 0.065986, 100.005590
0.011000, 0.065990, 0.065986, 100.005528
0.011250, 0.065990, 0.065986, 100.005495
0.011500, 0.065990, 0.065986, 100.005375
0.011750, 0.065990, 0.065986, 100.005297
0.012000, 0.065990, 0.065986, 100.005225
0.012250, 0.065990, 0.065986, 100.005211
0.012500, 0.065990, 0.065986, 100.005172
0.012750, 0.065990, 0.065986, 100.005030
0.013000, 0.065990, 0.065986, 100.004952
0.013250, 0.065989, 0.065986, 100.004880
0.013500, 0.065989, 0.065986, 100.004773
0.013750, 0.065989, 0.065986, 100.004740
0.014000, 0.065989, 0.065986, 100.004629
0.014250, 0.065989, 0.065986, 100.004548
0.014500, 0.065989, 0.065986, 100.004524
0.014750, 0.065989, 0.065986, 100.004164
0.015000, 0.065989, 0.065986, 100.004113
0.015250, 0.065989, 0.065986, 100.004068
0.015500, 0.065989, 0.065986, 100.004026
0.015750, 0.065989, 0.065986, 100.003926
0.016000, 0.065989, 0.065986, 100.003738
0.016250, 0.065989, 0.065986, 100.003509
0.016500, 0.065989, 0.065986, 100.003470
0.016750, 0.065988, 0.065986, 100.003339
0.017000, 0.065988, 0.065986, 100.003123
0.017250, 0.065988, 0.065986, 100.002903
0.017500, 0.065988, 0.065986, 100.002787
0.017750, 0.065988, 0.065986, 100.002700
0.018000, 0.065988, 0.065986, 100.002493
0.018250, 0.065988, 0.065986, 100.002297
0.018500, 0.065988, 0.065986, 100.002107
0.018750, 0.065988, 0.065986, 100.001924
0.019000, 0.065987, 0.065986, 100.001746
0.019250, 0.065987, 0.065986, 100.001569
0.019500, 0.065987, 0.065986, 100.001392
0.019750, 0.065987, 0.065986, 100.001213
0.020000, 0.065987, 0.065986, 100.001032
0.020250, 0.065987, 0.065986, 100.000848
0.020500, 0.065987, 0.065986, 100.000661
0.020750, 0.065987, 0.065986, 100.000472
0.021000, 0.065986, 0.065986, 100.000279
0.021250, 0.065986, 0.065986, 100.000085
0.021500, 0.065986, 0.065986, 99.999889
0.021750, 0.065986, 0.065986, 99.999692
0.022000, 0.065986, 0.065986, 99.999492
0.022250, 0.065986, 0.065986, 99.999289
0.022500, 0.065986, 0.065986, 99.999085
0.022750, 0.065986, 0.065986, 99.998880
0.023000, 0.065985, 0.065986, 99.998676
0.023250, 0.065985, 0.065986, 99.998473
0.023500, 0.065985, 0.065986, 99.998270
0.023750, 0.065985, 0.065986, 99.998074
0.024000, 0.065985, 0.065986, 99.997872
0.024250, 0.065985, 0.065986, 99.997672
0.024500, 0.065985, 0.065986, 99.997483
0.024750, 0.065984, 0.065986, 99.997288
0.025000, 0.065984, 0.065986, 99.997090
0.025250, 0.065984, 0.065986, 99.996894
0.025500, 0.065984, 0.065986, 99.996700
0.025750, 0.065984, 0.065986, 99.996508
0.026000, 0.065984, 0.065986, 99.996318
0.026250, 0.065984, 0.065986, 99.996131
0.026500, 0.065984, 0.065986, 99.995945
0.026750, 0.065983, 0.065986, 99.995761
0.027000, 0.065983, 0.065986, 99.995579
0.027250, 0.065983, 0.065986, 99.995399
0.027500, 0.065983, 0.065986, 99.995220
0.027750, 0.065983, 0.065986, 99.995043
0.028000, 0.065983, 0.065986, 99.994868
0.028250, 0.065983, 0.065986, 99.994695
0.028500, 0.065983, 0.065986, 99.994523
0.028750, 0.065983, 0.065986, 99.994352
0.029000, 0.065982, 0.065986, 99.994183
0.029250, 0.065982, 0.065986, 99.994016
0.029500, 0.065982, 0.065986, 99.993850
0.029750, 0.065982, 0.065986, 99.993686
0.030000, 0.065982, 0.065986, 99.993524
0.030250, 0.065982, 0.065986, 99.993363
0.030500, 0.065982, 0.065986, 99.993204
0.030750, 0.065982, 0.065986, 99.993046
0.031000, 0.065982, 0.065986, 99.992890
0.031250, 0.065981, 0.065986, 99.992736
0.031500, 0.065981, 0.065986, 99.992571
0.031750, 0.065981, 0.065986, 99.992423
0.032000, 0.065981, 0.065986, 99.992275
0.032250, 0.065981, 0.065986, 99.992129
0.032500, 0.065981, 0.065986, 99.991985
0.032750, 0.065981, 0.065986, 99.991827
0.033000, 0.065981, 0.065986, 99.991674
0.033250, 0.065981, 0.065986, 99.991522
0.033500, 0.065981, 0.065986, 99.991356
0.033750, 0.065980, 0.065986, 99.991228
0.034000, 0.065980, 0.065986, 99.991100
0.034250, 0.065980, 0.065986, 99.990975
0.034500, 0.065980, 0.065986, 99.990852
0.034750, 0.065980, 0.065986, 99.990733
0.035000, 0.065980, 0.065986, 99.990617
0.035250, 0.065980, 0.065986, 99.990505
0.035500, 0.065980, 0.065986, 99.990395
0.035750, 0.065980, 0.065986, 99.990289
0.036000, 0.065980, 0.065986, 99.990186
0.036250, 0.065980, 0.065986, 99.990086
0.036500, 0.065980, 0.065986, 99.989990
0.036750, 0.065980, 0.065986, 99.989897
0.037000, 0.065980, 0.065986, 99.989808
0.037250, 0.065979, 0.065986, 99.989723
0.037500, 0.065979, 0.065986, 99.989642
