12978 4
0 0 0.000000000000000e+00
0 1 0.000000000000000e+00
0 2 0.000000000000000e+00
21 0 0.000000000000000e+00
21 1 0.000000000000000e+00
21 2 0.000000000000000e+00
42 0 0.000000000000000e+00
42 1 0.000000000000000e+00
42 2 0.000000000000000e+00
63 0 0.000000000000000e+00
63 1 0.000000000000000e+00
63 2 0.000000000000000e+00
84 0 0.000000000000000e+00
84 1 0.000000000000000e+00
84 2 0.000000000000000e+00
105 0 0.000000000000000e+00
105 1 0.000000000000000e+00
105 2 0.000000000000000e+00
126 0 0.000000000000000e+00
126 1 0.000000000000000e+00
126 2 0.000000000000000e+00
147 0 0.000000000000000e+00
147 1 0.000000000000000e+00
147 2 0.000000000000000e+00
168 0 0.000000000000000e+00
168 1 0.000000000000000e+00
168 2 0.000000000000000e+00
189 0 0.000000000000000e+00
189 1 0.000000000000000e+00
189 2 0.000000000000000e+00
210 0 0.000000000000000e+00
210 1 0.000000000000000e+00
210 2 0.000000000000000e+00
231 0 0.000000000000000e+00
231 1 0.000000000000000e+00
231 2 0.000000000000000e+00
252 0 0.000000000000000e+00
252 1 0.000000000000000e+00
252 2 0.000000000000000e+00
273 0 0.000000000000000e+00
273 1 0.000000000000000e+00
273 2 0.000000000000000e+00
294 0 0.000000000000000e+00
294 1 0.000000000000000e+00
294 2 0.000000000000000e+00
315 0 0.000000000000000e+00
315 1 0.000000000000000e+00
315 2 0.000000000000000e+00
336 0 0.000000000000000e+00
336 1 0.000000000000000e+00
336 2 0.000000000000000e+00
357 0 0.000000000000000e+00
357 1 0.000000000000000e+00
357 2 0.000000000000000e+00
378 0 0.000000000000000e+00
378 1 0.000000000000000e+00
378 2 0.000000000000000e+00
399 0 0.000000000000000e+00
399 1 0.000000000000000e+00
399 2 0.000000000000000e+00
420 0 0.000000000000000e+00
420 1 0.000000000000000e+00
420 2 0.000000000000000e+00
441 0 0.000000000000000e+00
441 1 0.000000000000000e+00
441 2 0.000000000000000e+00
462 0 0.000000000000000e+00
462 1 0.000000000000000e+00
462 2 0.000000000000000e+00
483 0 0.000000000000000e+00
483 1 0.000000000000000e+00
483 2 0.000000000000000e+00
