Time, z, vz, sphericity, size
0.000000, 0.500000, 0.000000, 1.008196, 0.000000
0.002500, 0.500000, 0.000363, 1.008196, 0.000000
0.005000, 0.499999, 0.003628, 1.008304, 0.000000
0.007500, 0.499993, 0.006993, 1.008327, 0.000000
0.010000, 0.499987, 0.010347, 1.008333, 0.000000
0.012500, 0.499981, 0.013683, 1.008332, 0.000000
0.015000, 0.499978, 0.017000, 1.008326, 0.000000
0.017500, 0.499980, 0.020297, 1.008319, 0.000000
0.020000, 0.499986, 0.023573, 1.008311, 0.000000
0.022500, 0.499999, 0.026829, 1.008302, 0.000000
0.025000, 0.500018, 0.030063, 1.008294, 0.000000
0.027500, 0.500045, 0.033276, 1.008284, 0.000000
0.030000, 0.500080, 0.036468, 1.008275, 0.000000
0.032500, 0.500123, 0.039639, 1.008265, 0.000000
0.035000, 0.500174, 0.042789, 1.008254, 0.000000
0.037500, 0.500234, 0.045919, 1.008243, 0.000000
0.040000, 0.500302, 0.049028, 1.008232, 0.000000
0.042500, 0.500379, 0.052117, 1.008219, 0.000000
0.045000, 0.500465, 0.055186, 1.008206, 0.000000
0.047500, 0.500561, 0.058236, 1.008191, 0.000000
0.050000, 0.500665, 0.061267, 1.008177, 0.000000
0.052500, 0.500779, 0.064280, 1.008163, 0.000000
0.055000, 0.500902, 0.067276, 1.008148, 0.000000
0.057500, 0.501034, 0.070253, 1.008133, 0.000000
0.060000, 0.501176, 0.073213, 1.008119, 0.000000
0.062500, 0.501326, 0.076156, 1.008104, 0.000000
0.065000, 0.501487, 0.079083, 1.008088, 0.000000
0.067500, 0.501656, 0.081993, 1.008074, 0.000000
0.070000, 0.501834, 0.084887, 1.008060, 0.000000
0.072500, 0.502022, 0.087764, 1.008046, 0.000000
0.075000, 0.502219, 0.090625, 1.008032, 0.000000
0.077500, 0.502424, 0.093471, 1.008018, 0.000000
0.080000, 0.502639, 0.096299, 1.008004, 0.000000
0.082500, 0.502863, 0.099112, 1.007991, 0.000000
0.085000, 0.503095, 0.101910, 1.007977, 0.000000
0.087500, 0.503337, 0.104691, 1.007964, 0.000000
0.090000, 0.503587, 0.107457, 1.007951, 0.000000
0.092500, 0.503846, 0.110207, 1.007939, 0.000000
0.095000, 0.504113, 0.112943, 1.007927, 0.000000
0.097500, 0.504389, 0.115662, 1.007915, 0.000000
0.100000, 0.504674, 0.118367, 1.007904, 0.000000
0.102500, 0.504967, 0.121056, 1.007894, 0.000000
0.105000, 0.505269, 0.123729, 1.007884, 0.000000
0.107500, 0.505579, 0.126386, 1.007873, 0.000000
0.110000, 0.505897, 0.129028, 1.007864, 0.000000
0.112500, 0.506224, 0.131654, 1.007855, 0.000000
0.115000, 0.506559, 0.134264, 1.007848, 0.000000
0.117500, 0.506902, 0.136859, 1.007840, 0.000000
0.120000, 0.507254, 0.139440, 1.007834, 0.000000
0.122500, 0.507614, 0.142007, 1.007828, 0.000000
0.125000, 0.507982, 0.144560, 1.007822, 0.000000
0.127500, 0.508359, 0.147099, 1.007817, 0.000000
0.130000, 0.508743, 0.149625, 1.007812, 0.000000
0.132500, 0.509136, 0.152136, 1.007808, 0.000000
0.135000, 0.509536, 0.154634, 1.007804, 0.000000
0.137500, 0.509945, 0.157118, 1.007800, 0.000000
0.140000, 0.510362, 0.159589, 1.007796, 0.000000
0.142500, 0.510786, 0.162046, 1.007793, 0.000000
0.145000, 0.511219, 0.164489, 1.007790, 0.000000
0.147500, 0.511659, 0.166919, 1.007788, 0.000000
0.150000, 0.512107, 0.169335, 1.007786, 0.000000
0.152500, 0.512562, 0.171737, 1.007785, 0.000000
