4326 4
0 0 0.000000000000000e+00
21 0 0.000000000000000e+00
42 0 0.000000000000000e+00
63 0 0.000000000000000e+00
84 0 0.000000000000000e+00
105 0 0.000000000000000e+00
126 0 0.000000000000000e+00
147 0 0.000000000000000e+00
168 0 0.000000000000000e+00
189 0 0.000000000000000e+00
210 0 0.000000000000000e+00
231 0 0.000000000000000e+00
252 0 0.000000000000000e+00
273 0 0.000000000000000e+00
294 0 0.000000000000000e+00
315 0 0.000000000000000e+00
336 0 0.000000000000000e+00
357 0 0.000000000000000e+00
378 0 0.000000000000000e+00
399 0 0.000000000000000e+00
420 0 0.000000000000000e+00
441 0 0.000000000000000e+00
462 0 0.000000000000000e+00
483 0 0.000000000000000e+00
504 0 0.000000000000000e+00
525 0 0.000000000000000e+00
546 0 0.000000000000000e+00
567 0 0.000000000000000e+00
588 0 0.000000000000000e+00
609 0 0.000000000000000e+00
630 0 0.000000000000000e+00
651 0 0.000000000000000e+00
672 0 0.000000000000000e+00
693 0 0.000000000000000e+00
714 0 0.000000000000000e+00
735 0 0.000000000000000e+00
756 0 0.000000000000000e+00
777 0 0.000000000000000e+00
798 0 0.000000000000000e+00
819 0 0.000000000000000e+00
840 0 0.000000000000000e+00
861 0 0.000000000000000e+00
882 0 0.000000000000000e+00
903 0 0.000000000000000e+00
924 0 0.000000000000000e+00
945 0 0.000000000000000e+00
966 0 0.000000000000000e+00
987 0 0.000000000000000e+00
1008 0 0.000000000000000e+00
1029 0 0.000000000000000e+00
1050 0 0.000000000000000e+00
1071 0 0.000000000000000e+00
1092 0 0.000000000000000e+00
1113 0 0.000000000000000e+00
1134 0 0.000000000000000e+00
1155 0 0.000000000000000e+00
1176 0 0.000000000000000e+00
1197 0 0.000000000000000e+00
1218 0 0.000000000000000e+00
1239 0 0.000000000000000e+00
1260 0 0.000000000000000e+00
1281 0 0.000000000000000e+00
1302 0 0.000000000000000e+00
1323 0 0.000000000000000e+00
1344 0 0.000000000000000e+00
1365 0 0.000000000000000e+00
1386 0 0.000000000000000e+00
1407 0 0.000000000000000e+00
1428 0 0.000000000000000e+00
1449 0 0.000000000000000e+00
1470 0 0.000000000000000e+00
1491 0 0.000000000000000e+00
1512 0 0.000000000000000e+00
1533 0 0.000000000000000e+00
