Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000250, 0.026122, 0.026122, 100.000000
0.000500, 0.026122, 0.026122, 100.000276
0.000750, 0.026122, 0.026122, 100.000281
0.001000, 0.026122, 0.026122, 100.000285
0.001250, 0.026122, 0.026122, 100.000288
0.001500, 0.026122, 0.026122, 100.000292
0.001750, 0.026122, 0.026122, 100.000295
0.002000, 0.026122, 0.026122, 100.000298
0.002250, 0.026122, 0.026122, 100.000301
0.002500, 0.026122, 0.026122, 100.000304
0.002750, 0.026122, 0.026122, 100.000306
0.003000, 0.026122, 0.026122, 100.000309
0.003250, 0.026122, 0.026122, 100.000312
0.003500, 0.026122, 0.026122, 100.000315
0.003750, 0.026122, 0.026122, 100.000318
0.004000, 0.026122, 0.026122, 100.000321
0.004250, 0.026122, 0.026122, 100.000324
0.004500, 0.026122, 0.026122, 100.000326
0.004750, 0.026122, 0.026122, 100.000329
0.005000, 0.026122, 0.026122, 100.000332
0.005250, 0.026122, 0.026122, 100.000335
0.005500, 0.026122, 0.026122, 100.000338
0.005750, 0.026122, 0.026122, 100.000341
0.006000, 0.026122, 0.026122, 100.000344
0.006250, 0.026122, 0.026122, 100.000347
0.006500, 0.026122, 0.026122, 100.000350
0.006750, 0.026122, 0.026122, 100.000353
0.007000, 0.026122, 0.026122, 100.000356
0.007250, 0.026122, 0.026122, 100.000360
0.007500, 0.026122, 0.026122, 100.000363
0.007750, 0.026122, 0.026122, 100.000366
0.008000, 0.026122, 0.026122, 100.000369
0.008250, 0.026122, 0.026122, 100.000372
0.008500, 0.026122, 0.026122, 100.000375
0.008750, 0.026122, 0.026122, 100.000378
0.009000, 0.026122, 0.026122, 100.000381
0.009250, 0.026122, 0.026122, 100.000384
0.009500, 0.026122, 0.026122, 100.000387
0.009750, 0.026122, 0.026122, 100.000390
0.010000, 0.026122, 0.026122, 100.000393
0.010250, 0.026122, 0.026122, 100.000396
0.010500, 0.026122, 0.026122, 100.000399
0.010750, 0.026122, 0.026122, 100.000402
0.011000, 0.026122, 0.026122, 100.000405
0.011250, 0.026122, 0.026122, 100.000409
0.011500, 0.026122, 0.026122, 100.000412
0.011750, 0.026122, 0.026122, 100.000415
0.012000, 0.026122, 0.026122, 100.000417
0.012250, 0.026122, 0.026122, 100.000420
0.012500, 0.026122, 0.026122, 100.000423
0.012750, 0.026122, 0.026122, 100.000426
0.013000, 0.026122, 0.026122, 100.000429
0.013250, 0.026122, 0.026122, 100.000432
0.013500, 0.026122, 0.026122, 100.000435
0.013750, 0.026122, 0.026122, 100.000438
0.014000, 0.026122, 0.026122, 100.000441
0.014250, 0.026122, 0.026122, 100.000444
0.014500, 0.026122, 0.026122, 100.000447
0.014750, 0.026122, 0.026122, 100.000450
0.015000, 0.026122, 0.026122, 100.000453
0.015250, 0.026122, 0.026122, 100.000456
0.015500, 0.026122, 0.026122, 100.000459
0.015750, 0.026122, 0.026122, 100.000461
0.016000, 0.026122, 0.026122, 100.000464
0.016250, 0.026122, 0.026122, 100.000467
0.016500, 0.026122, 0.026122, 100.000470
0.016750, 0.026122, 0.026122, 100.000473
0.017000, 0.026122, 0.026122, 100.000476
0.017250, 0.026122, 0.026122, 100.000478
0.017500, 0.026122, 0.026122, 100.000481
0.017750, 0.026122, 0.026122, 100.000484
0.018000, 0.026122, 0.026122, 100.000487
0.018250, 0.026122, 0.026122, 100.000489
0.018500, 0.026122, 0.026122, 100.000492
0.018750, 0.026122, 0.026122, 100.000495
0.019000, 0.026122, 0.026122, 100.000497
0.019250, 0.026122, 0.026122, 100.000500
0.019500, 0.026122, 0.026122, 100.000503
0.019750, 0.026122, 0.026122, 100.000505
0.020000, 0.026122, 0.026122, 100.000508
0.020250, 0.026122, 0.026122, 100.000511
0.020500, 0.026122, 0.026122, 100.000513
0.020750, 0.026122, 0.026122, 100.000516
0.021000, 0.026122, 0.026122, 100.000518
0.021250, 0.026122, 0.026122, 100.000521
0.021500, 0.026122, 0.026122, 100.000524
0.021750, 0.026122, 0.026122, 100.000526
0.022000, 0.026122, 0.026122, 100.000529
0.022250, 0.026122, 0.026122, 100.000531
0.022500, 0.026122, 0.026122, 100.000534
0.022750, 0.026122, 0.026122, 100.000536
0.023000, 0.026122, 0.026122, 100.000539
0.023250, 0.026122, 0.026122, 100.000541
0.023500, 0.026122, 0.026122, 100.000544
0.023750, 0.026122, 0.026122, 100.000546
