Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000250, 0.026137, 0.026137, 100.000000
0.000500, 0.026137, 0.026137, 100.000276
0.000750, 0.026137, 0.026137, 100.000286
0.001000, 0.026137, 0.026137, 100.000293
0.001250, 0.026137, 0.026137, 100.000299
0.001500, 0.026137, 0.026137, 100.000304
0.001750, 0.026137, 0.026137, 100.000309
0.002000, 0.026137, 0.026137, 100.000313
0.002250, 0.026137, 0.026137, 100.000317
0.002500, 0.026137, 0.026137, 100.000321
0.002750, 0.026137, 0.026137, 100.000325
0.003000, 0.026137, 0.026137, 100.000329
0.003250, 0.026137, 0.026137, 100.000332
0.003500, 0.026137, 0.026137, 100.000336
0.003750, 0.026137, 0.026137, 100.000339
0.004000, 0.026137, 0.026137, 100.000342
0.004250, 0.026137, 0.026137, 100.000345
0.004500, 0.026137, 0.026137, 100.000348
0.004750, 0.026137, 0.026137, 100.000351
0.005000, 0.026137, 0.026137, 100.000355
0.005250, 0.026137, 0.026137, 100.000357
0.005500, 0.026137, 0.026137, 100.000360
0.005750, 0.026137, 0.026137, 100.000363
0.006000, 0.026137, 0.026137, 100.000366
0.006250, 0.026137, 0.026137, 100.000369
0.006500, 0.026137, 0.026137, 100.000372
0.006750, 0.026137, 0.026137, 100.000374
0.007000, 0.026137, 0.026137, 100.000377
0.007250, 0.026137, 0.026137, 100.000379
0.007500, 0.026137, 0.026137, 100.000382
0.007750, 0.026137, 0.026137, 100.000384
0.008000, 0.026137, 0.026137, 100.000387
0.008250, 0.026137, 0.026137, 100.000389
0.008500, 0.026137, 0.026137, 100.000392
0.008750, 0.026137, 0.026137, 100.000394
0.009000, 0.026137, 0.026137, 100.000396
0.009250, 0.026137, 0.026137, 100.000399
0.009500, 0.026137, 0.026137, 100.000401
0.009750, 0.026137, 0.026137, 100.000403
0.010000, 0.026137, 0.026137, 100.000405
0.010250, 0.026137, 0.026137, 100.000407
0.010500, 0.026137, 0.026137, 100.000409
0.010750, 0.026137, 0.026137, 100.000411
0.011000, 0.026137, 0.026137, 100.000413
0.011250, 0.026137, 0.026137, 100.000415
0.011500, 0.026137, 0.026137, 100.000417
0.011750, 0.026137, 0.026137, 100.000419
0.012000, 0.026137, 0.026137, 100.000421
0.012250, 0.026137, 0.026137, 100.000423
0.012500, 0.026137, 0.026137, 100.000425
0.012750, 0.026137, 0.026137, 100.000427
0.013000, 0.026137, 0.026137, 100.000429
0.013250, 0.026137, 0.026137, 100.000430
0.013500, 0.026137, 0.026137, 100.000432
0.013750, 0.026137, 0.026137, 100.000434
0.014000, 0.026137, 0.026137, 100.000436
0.014250, 0.026137, 0.026137, 100.000437
0.014500, 0.026137, 0.026137, 100.000439
0.014750, 0.026137, 0.026137, 100.000441
0.015000, 0.026137, 0.026137, 100.000442
0.015250, 0.026137, 0.026137, 100.000444
0.015500, 0.026137, 0.026137, 100.000446
0.015750, 0.026137, 0.026137, 100.000447
0.016000, 0.026137, 0.026137, 100.000449
