Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000010, 0.026121, 0.026121, 100.000000
0.000020, 0.026121, 0.026121, 100.000243
0.000030, 0.026121, 0.026121, 100.000244
0.000040, 0.026121, 0.026121, 100.000246
0.000050, 0.026121, 0.026121, 100.000248
0.000060, 0.026121, 0.026121, 100.000249
0.000070, 0.026121, 0.026121, 100.000251
0.000080, 0.026121, 0.026121, 100.000252
0.000090, 0.026121, 0.026121, 100.000254
0.000100, 0.026121, 0.026121, 100.000255
0.000110, 0.026121, 0.026121, 100.000256
0.000120, 0.026121, 0.026121, 100.000258
0.000130, 0.026121, 0.026121, 100.000259
0.000140, 0.026121, 0.026121, 100.000260
0.000150, 0.026121, 0.026121, 100.000261
0.000160, 0.026121, 0.026121, 100.000263
0.000170, 0.026121, 0.026121, 100.000264
0.000180, 0.026121, 0.026121, 100.000265
0.000190, 0.026121, 0.026121, 100.000266
0.000200, 0.026121, 0.026121, 100.000268
0.000210, 0.026121, 0.026121, 100.000269
0.000220, 0.026121, 0.026121, 100.000270
0.000230, 0.026121, 0.026121, 100.000271
0.000240, 0.026121, 0.026121, 100.000272
0.000250, 0.026121, 0.026121, 100.000273
0.000260, 0.026121, 0.026121, 100.000275
0.000270, 0.026121, 0.026121, 100.000276
0.000280, 0.026121, 0.026121, 100.000277
0.000290, 0.026121, 0.026121, 100.000278
0.000300, 0.026121, 0.026121, 100.000279
0.000310, 0.026121, 0.026121, 100.000280
0.000320, 0.026121, 0.026121, 100.000281
0.000330, 0.026121, 0.026121, 100.000282
0.000340, 0.026121, 0.026121, 100.000283
0.000350, 0.026121, 0.026121, 100.000284
0.000360, 0.026121, 0.026121, 100.000285
0.000370, 0.026121, 0.026121, 100.000286
0.000380, 0.026121, 0.026121, 100.000286
0.000390, 0.026121, 0.026121, 100.000287
0.000400, 0.026121, 0.026121, 100.000288
0.000410, 0.026121, 0.026121, 100.000289
0.000420, 0.026121, 0.026121, 100.000290
0.000430, 0.026121, 0.026121, 100.000291
0.000440, 0.026121, 0.026121, 100.000292
0.000450, 0.026121, 0.026121, 100.000293
0.000460, 0.026121, 0.026121, 100.000294
0.000470, 0.026121, 0.026121, 100.000294
0.000480, 0.026121, 0.026121, 100.000295
0.000490, 0.026121, 0.026121, 100.000296
0.000500, 0.026121, 0.026121, 100.000297
0.000510, 0.026121, 0.026121, 100.000298
0.000520, 0.026121, 0.026121, 100.000299
0.000530, 0.026121, 0.026121, 100.000300
0.000540, 0.026121, 0.026121, 100.000300
