13398 4
0 0 0.000000000000000e+00
81 0 0.000000000000000e+00
162 0 0.000000000000000e+00
243 0 0.000000000000000e+00
324 0 0.000000000000000e+00
405 0 0.000000000000000e+00
486 0 0.000000000000000e+00
567 0 0.000000000000000e+00
648 0 0.000000000000000e+00
729 0 0.000000000000000e+00
810 0 0.000000000000000e+00
891 0 0.000000000000000e+00
972 0 0.000000000000000e+00
1053 0 0.000000000000000e+00
1134 0 0.000000000000000e+00
1215 0 0.000000000000000e+00
1296 0 0.000000000000000e+00
1377 0 0.000000000000000e+00
1458 0 0.000000000000000e+00
1539 0 0.000000000000000e+00
1620 0 0.000000000000000e+00
1701 0 0.000000000000000e+00
1782 0 0.000000000000000e+00
1863 0 0.000000000000000e+00
1944 0 0.000000000000000e+00
2025 0 0.000000000000000e+00
2106 0 0.000000000000000e+00
2187 0 0.000000000000000e+00
2268 0 0.000000000000000e+00
2349 0 0.000000000000000e+00
2430 0 0.000000000000000e+00
2511 0 0.000000000000000e+00
2592 0 0.000000000000000e+00
2673 0 0.000000000000000e+00
2754 0 0.000000000000000e+00
2835 0 0.000000000000000e+00
2916 0 0.000000000000000e+00
2997 0 0.000000000000000e+00
3078 0 0.000000000000000e+00
3159 0 0.000000000000000e+00
3240 0 0.000000000000000e+00
3321 0 0.000000000000000e+00
3402 0 0.000000000000000e+00
3483 0 0.000000000000000e+00
3564 0 0.000000000000000e+00
3645 0 0.000000000000000e+00
3726 0 0.000000000000000e+00
3807 0 0.000000000000000e+00
3888 0 0.000000000000000e+00
3969 0 0.000000000000000e+00
4050 0 0.000000000000000e+00
4131 0 0.000000000000000e+00
4212 0 0.000000000000000e+00
4293 0 0.000000000000000e+00
4374 0 0.000000000000000e+00
4455 0 0.000000000000000e+00
4536 0 0.000000000000000e+00
4617 0 0.000000000000000e+00
4698 0 0.000000000000000e+00
4779 0 0.000000000000000e+00
4860 0 0.000000000000000e+00
4941 0 0.000000000000000e+00
5022 0 0.000000000000000e+00
5103 0 0.000000000000000e+00
5184 0 0.000000000000000e+00
5265 0 0.000000000000000e+00
5346 0 0.000000000000000e+00
5427 0 0.000000000000000e+00
5508 0 0.000000000000000e+00
5589 0 0.000000000000000e+00
5670 0 0.000000000000000e+00
5751 0 0.000000000000000e+00
5832 0 0.000000000000000e+00
5913 0 0.000000000000000e+00
5994 0 0.000000000000000e+00
6075 0 0.000000000000000e+00
6156 0 0.000000000000000e+00
6237 0 0.000000000000000e+00
6318 0 0.000000000000000e+00
6399 0 0.000000000000000e+00
6480 0 0.000000000000000e+00
6561 0 0.000000000000000e+00
6642 0 0.000000000000000e+00
6723 0 0.000000000000000e+00
6804 0 0.000000000000000e+00
6885 0 0.000000000000000e+00
6966 0 0.000000000000000e+00
7047 0 0.000000000000000e+00
7128 0 0.000000000000000e+00
7209 0 0.000000000000000e+00
7290 0 0.000000000000000e+00
7371 0 0.000000000000000e+00
7452 0 0.000000000000000e+00
7533 0 0.000000000000000e+00
7614 0 0.000000000000000e+00
7695 0 0.000000000000000e+00
7776 0 0.000000000000000e+00
7857 0 0.000000000000000e+00
7938 0 0.000000000000000e+00
8019 0 0.000000000000000e+00
8100 0 0.000000000000000e+00
8181 0 0.000000000000000e+00
8262 0 0.000000000000000e+00
8343 0 0.000000000000000e+00
8424 0 0.000000000000000e+00
8505 0 0.000000000000000e+00
8586 0 0.000000000000000e+00
8667 0 0.000000000000000e+00
8748 0 0.000000000000000e+00
8829 0 0.000000000000000e+00
8910 0 0.000000000000000e+00
8991 0 0.000000000000000e+00
9072 0 0.000000000000000e+00
9153 0 0.000000000000000e+00
9234 0 0.000000000000000e+00
9315 0 0.000000000000000e+00
9396 0 0.000000000000000e+00
9477 0 0.000000000000000e+00
9558 0 0.000000000000000e+00
9639 0 0.000000000000000e+00
9720 0 0.000000000000000e+00
9801 0 0.000000000000000e+00
9882 0 0.000000000000000e+00
9963 0 0.000000000000000e+00
10044 0 0.000000000000000e+00
10125 0 0.000000000000000e+00
10206 0 0.000000000000000e+00
10287 0 0.000000000000000e+00
10368 0 0.000000000000000e+00
10449 0 0.000000000000000e+00
10530 0 0.000000000000000e+00
10611 0 0.000000000000000e+00
10692 0 0.000000000000000e+00
10773 0 0.000000000000000e+00
10854 0 0.000000000000000e+00
10935 0 0.000000000000000e+00
11016 0 0.000000000000000e+00
11097 0 0.000000000000000e+00
11178 0 0.000000000000000e+00
11259 0 0.000000000000000e+00
11340 0 0.000000000000000e+00
11421 0 0.000000000000000e+00
11502 0 0.000000000000000e+00
11583 0 0.000000000000000e+00
11664 0 0.000000000000000e+00
11745 0 0.000000000000000e+00
11826 0 0.000000000000000e+00
11907 0 0.000000000000000e+00
11988 0 0.000000000000000e+00
12069 0 0.000000000000000e+00
12150 0 0.000000000000000e+00
12231 0 0.000000000000000e+00
12312 0 0.000000000000000e+00
12393 0 0.000000000000000e+00
12474 0 0.000000000000000e+00
12555 0 0.000000000000000e+00
12636 0 0.000000000000000e+00
12717 0 0.000000000000000e+00
12798 0 0.000000000000000e+00
12879 0 0.000000000000000e+00
12960 0 0.000000000000000e+00
13041 0 0.000000000000000e+00
13122 0 0.000000000000000e+00
13203 0 0.000000000000000e+00
13284 0 0.000000000000000e+00
13365 0 0.000000000000000e+00
13446 0 0.000000000000000e+00
13527 0 0.000000000000000e+00
13608 0 0.000000000000000e+00
13689 0 0.000000000000000e+00
13770 0 0.000000000000000e+00
13851 0 0.000000000000000e+00
13932 0 0.000000000000000e+00
14013 0 0.000000000000000e+00
14094 0 0.000000000000000e+00
14175 0 0.000000000000000e+00
14256 0 0.000000000000000e+00
14337 0 0.000000000000000e+00
14418 0 0.000000000000000e+00
14499 0 0.000000000000000e+00
14580 0 0.000000000000000e+00
14661 0 0.000000000000000e+00
14742 0 0.000000000000000e+00
14823 0 0.000000000000000e+00
14904 0 0.000000000000000e+00
14985 0 0.000000000000000e+00
15066 0 0.000000000000000e+00
