Time, z, vz, sphericity, size
0.000000, 0.500000, 0.000000, 1.008196, 0.000000
0.000250, 0.500000, 0.000529, 1.008196, 0.000000
0.000500, 0.500000, 0.004096, 1.008172, 0.000000
0.000750, 0.499999, 0.007720, 1.008178, 0.000000
0.001000, 0.499998, 0.011343, 1.008182, 0.000000
0.001250, 0.499997, 0.014962, 1.008187, 0.000000
0.001500, 0.499996, 0.018579, 1.008191, 0.000000
0.001750, 0.499995, 0.022193, 1.008196, 0.000000
0.002000, 0.499995, 0.025804, 1.008200, 0.000000
0.002250, 0.499994, 0.029413, 1.008203, 0.000000
0.002500, 0.499994, 0.033019, 1.008207, 0.000000
0.002750, 0.499994, 0.036624, 1.008210, 0.000000
0.003000, 0.499994, 0.040225, 1.008213, 0.000000
0.003250, 0.499994, 0.043825, 1.008216, 0.000000
0.003500, 0.499995, 0.047423, 1.008219, 0.000000
0.003750, 0.499996, 0.051018, 1.008222, 0.000000
0.004000, 0.499997, 0.054611, 1.008225, 0.000000
0.004250, 0.499999, 0.058201, 1.008228, 0.000000
0.004500, 0.500001, 0.061790, 1.008231, 0.000000
0.004750, 0.500003, 0.065376, 1.008232, 0.000000
0.005000, 0.500006, 0.068960, 1.008234, 0.000000
0.005250, 0.500009, 0.072541, 1.008237, 0.000000
0.005500, 0.500013, 0.076120, 1.008238, 0.000000
0.005750, 0.500018, 0.079697, 1.008240, 0.000000
0.006000, 0.500022, 0.083271, 1.008241, 0.000000
0.006250, 0.500028, 0.086842, 1.008244, 0.000000
0.006500, 0.500034, 0.090412, 1.008244, 0.000000
0.006750, 0.500040, 0.093978, 1.008246, 0.000000
0.007000, 0.500047, 0.097542, 1.008246, 0.000000
0.007250, 0.500055, 0.101104, 1.008247, 0.000000
0.007500, 0.500063, 0.104662, 1.008249, 0.000000
0.007750, 0.500072, 0.108218, 1.008251, 0.000000
0.008000, 0.500082, 0.111772, 1.008252, 0.000000
0.008250, 0.500092, 0.115323, 1.008252, 0.000000
0.008500, 0.500103, 0.118871, 1.008253, 0.000000
0.008750, 0.500115, 0.122416, 1.008253, 0.000000
0.009000, 0.500127, 0.125958, 1.008253, 0.000000
0.009250, 0.500141, 0.129498, 1.008253, 0.000000
0.009500, 0.500155, 0.133035, 1.008253, 0.000000
0.009750, 0.500169, 0.136569, 1.008253, 0.000000
0.010000, 0.500185, 0.140101, 1.008253, 0.000000
0.010250, 0.500202, 0.143629, 1.008253, 0.000000
0.010500, 0.500219, 0.147155, 1.008253, 0.000000
0.010750, 0.500237, 0.150678, 1.008252, 0.000000
0.011000, 0.500256, 0.154199, 1.008252, 0.000000
0.011250, 0.500276, 0.157716, 1.008252, 0.000000
0.011500, 0.500297, 0.161231, 1.008251, 0.000000
0.011750, 0.500319, 0.164743, 1.008251, 0.000000
0.012000, 0.500341, 0.168253, 1.008251, 0.000000
0.012250, 0.500365, 0.171760, 1.008249, 0.000000
0.012500, 0.500390, 0.175265, 1.008248, 0.000000
0.012750, 0.500415, 0.178767, 1.008248, 0.000000
0.013000, 0.500442, 0.182268, 1.008246, 0.000000
0.013250, 0.500469, 0.185766, 1.008245, 0.000000
0.013500, 0.500498, 0.189262, 1.008244, 0.000000
0.013750, 0.500527, 0.192757, 1.008243, 0.000000
0.014000, 0.500557, 0.196250, 1.008242, 0.000000
0.014250, 0.500589, 0.199741, 1.008241, 0.000000
0.014500, 0.500621, 0.203231, 1.008240, 0.000000
0.014750, 0.500655, 0.206719, 1.008239, 0.000000
0.015000, 0.500690, 0.210206, 1.008238, 0.000000
0.015250, 0.500725, 0.213692, 1.008236, 0.000000
0.015500, 0.500762, 0.217177, 1.008235, 0.000000
0.015750, 0.500799, 0.220660, 1.008234, 0.000000
0.016000, 0.500838, 0.224143, 1.008233, 0.000000
0.016250, 0.500878, 0.227625, 1.008231, 0.000000
0.016500, 0.500919, 0.231106, 1.008231, 0.000000
0.016750, 0.500961, 0.234587, 1.008228, 0.000000
0.017000, 0.501004, 0.238066, 1.008227, 0.000000
0.017250, 0.501048, 0.241545, 1.008226, 0.000000
0.017500, 0.501094, 0.245023, 1.008225, 0.000000
0.017750, 0.501140, 0.248500, 1.008223, 0.000000
0.018000, 0.501187, 0.251977, 1.008222, 0.000000
0.018250, 0.501236, 0.255454, 1.008219, 0.000000
0.018500, 0.501286, 0.258929, 1.008218, 0.000000
0.018750, 0.501337, 0.262403, 1.008217, 0.000000
0.019000, 0.501389, 0.265876, 1.008214, 0.000000
0.019250, 0.501442, 0.269349, 1.008212, 0.000000
0.019500, 0.501496, 0.272820, 1.008210, 0.000000
0.019750, 0.501552, 0.276290, 1.008208, 0.000000
0.020000, 0.501609, 0.279759, 1.008207, 0.000000
0.020250, 0.501667, 0.283227, 1.008205, 0.000000
0.020500, 0.501726, 0.286693, 1.008203, 0.000000
0.020750, 0.501786, 0.290158, 1.008201, 0.000000
0.021000, 0.501848, 0.293621, 1.008199, 0.000000
0.021250, 0.501910, 0.297082, 1.008197, 0.000000
0.021500, 0.501974, 0.300541, 1.008195, 0.000000
0.021750, 0.502039, 0.303999, 1.008192, 0.000000
0.022000, 0.502105, 0.307454, 1.008190, 0.000000
0.022250, 0.502172, 0.310907, 1.008188, 0.000000
0.022500, 0.502241, 0.314358, 1.008186, 0.000000
0.022750, 0.502311, 0.317807, 1.008184, 0.000000
0.023000, 0.502381, 0.321253, 1.008182, 0.000000
0.023250, 0.502453, 0.324698, 1.008180, 0.000000
0.023500, 0.502527, 0.328140, 1.008178, 0.000000
0.023750, 0.502601, 0.331579, 1.008176, 0.000000
0.024000, 0.502677, 0.335017, 1.008174, 0.000000
0.024250, 0.502753, 0.338452, 1.008172, 0.000000
0.024500, 0.502831, 0.341885, 1.008170, 0.000000
0.024750, 0.502910, 0.345315, 1.008168, 0.000000
0.025000, 0.502991, 0.348744, 1.008166, 0.000000
0.025250, 0.503072, 0.352170, 1.008164, 0.000000
0.025500, 0.503155, 0.355594, 1.008162, 0.000000
0.025750, 0.503238, 0.359017, 1.008160, 0.000000
0.026000, 0.503323, 0.362437, 1.008158, 0.000000
0.026250, 0.503409, 0.365855, 1.008156, 0.000000
0.026500, 0.503496, 0.369272, 1.008155, 0.000000
0.026750, 0.503584, 0.372686, 1.008153, 0.000000
0.027000, 0.503674, 0.376099, 1.008151, 0.000000
0.027250, 0.503764, 0.379510, 1.008149, 0.000000
0.027500, 0.503856, 0.382919, 1.008147, 0.000000
0.027750, 0.503949, 0.386326, 1.008145, 0.000000
0.028000, 0.504042, 0.389732, 1.008144, 0.000000
0.028250, 0.504137, 0.393136, 1.008142, 0.000000
0.028500, 0.504233, 0.396539, 1.008140, 0.000000
0.028750, 0.504331, 0.399939, 1.008138, 0.000000
0.029000, 0.504429, 0.403339, 1.008137, 0.000000
0.029250, 0.504528, 0.406736, 1.008135, 0.000000
0.029500, 0.504629, 0.410132, 1.008133, 0.000000
0.029750, 0.504730, 0.413526, 1.008132, 0.000000
0.030000, 0.504833, 0.416918, 1.008130, 0.000000
0.030250, 0.504936, 0.420309, 1.008129, 0.000000
0.030500, 0.505041, 0.423698, 1.008127, 0.000000
0.030750, 0.505147, 0.427085, 1.008125, 0.000000
0.031000, 0.505254, 0.430471, 1.008124, 0.000000
0.031250, 0.505362, 0.433854, 1.008122, 0.000000
0.031500, 0.505470, 0.437236, 1.008121, 0.000000
0.031750, 0.505580, 0.440615, 1.008119, 0.000000
0.032000, 0.505692, 0.443993, 1.008118, 0.000000
0.032250, 0.505804, 0.447368, 1.008116, 0.000000
0.032500, 0.505917, 0.450741, 1.008115, 0.000000
0.032750, 0.506031, 0.454112, 1.008113, 0.000000
0.033000, 0.506146, 0.457480, 1.008112, 0.000000
0.033250, 0.506263, 0.460846, 1.008111, 0.000000
0.033500, 0.506380, 0.464210, 1.008109, 0.000000
0.033750, 0.506498, 0.467570, 1.008108, 0.000000
0.034000, 0.506618, 0.470929, 1.008107, 0.000000
0.034250, 0.506738, 0.474284, 1.008105, 0.000000
0.034500, 0.506860, 0.477637, 1.008104, 0.000000
0.034750, 0.506982, 0.480987, 1.008103, 0.000000
0.035000, 0.507106, 0.484334, 1.008102, 0.000000
0.035250, 0.507230, 0.487678, 1.008101, 0.000000
0.035500, 0.507356, 0.491019, 1.008100, 0.000000
0.035750, 0.507482, 0.494357, 1.008099, 0.000000
0.036000, 0.507610, 0.497692, 1.008098, 0.000000
0.036250, 0.507739, 0.501025, 1.008097, 0.000000
0.036500, 0.507869, 0.504354, 1.008096, 0.000000
0.036750, 0.507999, 0.507681, 1.008095, 0.000000
