Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.002500, 0.069554, 0.069554, 100.000000
0.005000, 0.069550, 0.069554, 99.994476
0.007500, 0.069550, 0.069554, 99.993943
0.010000, 0.069550, 0.069554, 99.993709
0.012500, 0.069550, 0.069554, 99.993530
0.015000, 0.069550, 0.069554, 99.993383
0.017500, 0.069550, 0.069554, 99.993259
0.020000, 0.069550, 0.069554, 99.993109
0.022500, 0.069549, 0.069554, 99.992956
0.025000, 0.069549, 0.069554, 99.992773
0.027500, 0.069549, 0.069554, 99.992593
0.030000, 0.069549, 0.069554, 99.992408
0.032500, 0.069549, 0.069554, 99.992215
0.035000, 0.069549, 0.069554, 99.992009
0.037500, 0.069549, 0.069554, 99.991795
0.040000, 0.069548, 0.069554, 99.991562
0.042500, 0.069548, 0.069554, 99.991338
0.045000, 0.069548, 0.069554, 99.991087
0.047500, 0.069548, 0.069554, 99.990897
0.050000, 0.069548, 0.069554, 99.990630
0.052500, 0.069548, 0.069554, 99.990391
0.055000, 0.069547, 0.069554, 99.990154
0.057500, 0.069547, 0.069554, 99.989900
0.060000, 0.069547, 0.069554, 99.989620
0.062500, 0.069547, 0.069554, 99.989347
0.065000, 0.069547, 0.069554, 99.989081
0.067500, 0.069547, 0.069554, 99.988806
0.070000, 0.069546, 0.069554, 99.988533
0.072500, 0.069546, 0.069554, 99.988255
0.075000, 0.069546, 0.069554, 99.987977
0.077500, 0.069546, 0.069554, 99.987697
0.080000, 0.069546, 0.069554, 99.987415
0.082500, 0.069545, 0.069554, 99.987130
0.085000, 0.069545, 0.069554, 99.986842
0.087500, 0.069545, 0.069554, 99.986552
0.090000, 0.069545, 0.069554, 99.986260
0.092500, 0.069545, 0.069554, 99.985966
0.095000, 0.069544, 0.069554, 99.985671
0.097500, 0.069544, 0.069554, 99.985376
0.100000, 0.069544, 0.069554, 99.985081
0.102500, 0.069544, 0.069554, 99.984786
0.105000, 0.069544, 0.069554, 99.984490
0.107500, 0.069543, 0.069554, 99.984194
0.110000, 0.069543, 0.069554, 99.983906
0.112500, 0.069543, 0.069554, 99.983617
0.115000, 0.069543, 0.069554, 99.983327
0.117500, 0.069543, 0.069554, 99.983037
0.120000, 0.069542, 0.069554, 99.982747
0.122500, 0.069542, 0.069554, 99.982459
0.125000, 0.069542, 0.069554, 99.982174
0.127500, 0.069542, 0.069554, 99.981891
0.130000, 0.069542, 0.069554, 99.981610
0.132500, 0.069541, 0.069554, 99.981330
0.135000, 0.069541, 0.069554, 99.981050
0.137500, 0.069541, 0.069554, 99.980774
0.140000, 0.069541, 0.069554, 99.980499
0.142500, 0.069541, 0.069554, 99.980229
0.145000, 0.069540, 0.069554, 99.979962
0.147500, 0.069540, 0.069554, 99.979698
0.150000, 0.069540, 0.069554, 99.979436
0.152500, 0.069540, 0.069554, 99.979178
0.155000, 0.069540, 0.069554, 99.978923
0.157500, 0.069539, 0.069554, 99.978673
0.160000, 0.069539, 0.069554, 99.978427
0.162500, 0.069539, 0.069554, 99.978187
0.165000, 0.069539, 0.069554, 99.977953
0.167500, 0.069539, 0.069554, 99.977727
0.170000, 0.069539, 0.069554, 99.977507
0.172500, 0.069539, 0.069554, 99.977294
0.175000, 0.069538, 0.069554, 99.977088
0.177500, 0.069538, 0.069554, 99.976886
0.180000, 0.069538, 0.069554, 99.976690
0.182500, 0.069538, 0.069554, 99.976498
0.185000, 0.069538, 0.069554, 99.976312
0.187500, 0.069538, 0.069554, 99.976132
0.190000, 0.069538, 0.069554, 99.975958
0.192500, 0.069537, 0.069554, 99.975790
0.195000, 0.069537, 0.069554, 99.975628
0.197500, 0.069537, 0.069554, 99.975472
0.200000, 0.069537, 0.069554, 99.975321
0.202500, 0.069537, 0.069554, 99.975175
0.205000, 0.069537, 0.069554, 99.975031
0.207500, 0.069537, 0.069554, 99.974892
0.210000, 0.069537, 0.069554, 99.974756
0.212500, 0.069537, 0.069554, 99.974621
0.215000, 0.069537, 0.069554, 99.974488
0.217500, 0.069536, 0.069554, 99.974354
0.220000, 0.069536, 0.069554, 99.974220
0.222500, 0.069536, 0.069554, 99.974084
0.225000, 0.069536, 0.069554, 99.973948
0.227500, 0.069536, 0.069554, 99.973812
0.230000, 0.069536, 0.069554, 99.973677
0.232500, 0.069536, 0.069554, 99.973542
0.235000, 0.069536, 0.069554, 99.973409
0.237500, 0.069536, 0.069554, 99.973277
0.240000, 0.069536, 0.069554, 99.973147
0.242500, 0.069536, 0.069554, 99.973015
0.245000, 0.069535, 0.069554, 99.972883
0.247500, 0.069535, 0.069554, 99.972750
0.250000, 0.069535, 0.069554, 99.972618
0.252500, 0.069535, 0.069554, 99.972486
0.255000, 0.069535, 0.069554, 99.972356
0.257500, 0.069535, 0.069554, 99.972229
0.260000, 0.069535, 0.069554, 99.972102
0.262500, 0.069535, 0.069554, 99.971979
0.265000, 0.069535, 0.069554, 99.971856
0.267500, 0.069535, 0.069554, 99.971732
0.270000, 0.069535, 0.069554, 99.971605
0.272500, 0.069534, 0.069554, 99.971515
0.275000, 0.069534, 0.069554, 99.971400
0.277500, 0.069534, 0.069554, 99.971257
0.280000, 0.069534, 0.069554, 99.971107
0.282500, 0.069534, 0.069554, 99.970952
0.285000, 0.069534, 0.069554, 99.970791
0.287500, 0.069534, 0.069554, 99.970626
0.290000, 0.069534, 0.069554, 99.970457
0.292500, 0.069534, 0.069554, 99.970284
0.295000, 0.069534, 0.069554, 99.970109
0.297500, 0.069533, 0.069554, 99.969932
0.300000, 0.069533, 0.069554, 99.969743
0.302500, 0.069533, 0.069554, 99.969560
0.305000, 0.069533, 0.069554, 99.969379
0.307500, 0.069533, 0.069554, 99.969199
0.310000, 0.069533, 0.069554, 99.969019
0.312500, 0.069533, 0.069554, 99.968842
0.315000, 0.069533, 0.069554, 99.968665
0.317500, 0.069532, 0.069554, 99.968492
0.320000, 0.069532, 0.069554, 99.968320
0.322500, 0.069532, 0.069554, 99.968150
0.325000, 0.069532, 0.069554, 99.967984
0.327500, 0.069532, 0.069554, 99.967823
0.330000, 0.069532, 0.069554, 99.967666
0.332500, 0.069532, 0.069554, 99.967516
0.335000, 0.069532, 0.069554, 99.967368
0.337500, 0.069532, 0.069554, 99.967223
0.340000, 0.069531, 0.069554, 99.967076
0.342500, 0.069531, 0.069554, 99.966925
0.345000, 0.069531, 0.069554, 99.966765
0.347500, 0.069531, 0.069554, 99.966597
0.350000, 0.069531, 0.069554, 99.966421
0.352500, 0.069531, 0.069554, 99.966237
0.355000, 0.069531, 0.069554, 99.966046
0.357500, 0.069531, 0.069554, 99.965848
0.360000, 0.069530, 0.069554, 99.965644
0.362500, 0.069530, 0.069554, 99.965432
0.365000, 0.069530, 0.069554, 99.965215
0.367500, 0.069530, 0.069554, 99.964992
0.370000, 0.069530, 0.069554, 99.964763
0.372500, 0.069530, 0.069554, 99.964529
0.375000, 0.069529, 0.069554, 99.964289
0.377500, 0.069529, 0.069554, 99.964046
0.380000, 0.069529, 0.069554, 99.963799
0.382500, 0.069529, 0.069554, 99.963549
0.385000, 0.069529, 0.069554, 99.963297
0.387500, 0.069529, 0.069554, 99.963045
0.390000, 0.069528, 0.069554, 99.962792
0.392500, 0.069528, 0.069554, 99.962543
0.395000, 0.069528, 0.069554, 99.962294
0.397500, 0.069528, 0.069554, 99.962049
0.400000, 0.069528, 0.069554, 99.961808
0.402500, 0.069528, 0.069554, 99.961568
0.405000, 0.069527, 0.069554, 99.961329
0.407500, 0.069527, 0.069554, 99.961087
0.410000, 0.069527, 0.069554, 99.960842
