10506 4
0 0 0.000000000000000e+00
0 1 0.000000000000000e+00
0 2 0.000000000000000e+00
41 0 0.000000000000000e+00
41 1 0.000000000000000e+00
41 2 0.000000000000000e+00
82 0 0.000000000000000e+00
82 1 0.000000000000000e+00
82 2 0.000000000000000e+00
123 0 0.000000000000000e+00
123 1 0.000000000000000e+00
123 2 0.000000000000000e+00
164 0 0.000000000000000e+00
164 1 0.000000000000000e+00
164 2 0.000000000000000e+00
205 0 0.000000000000000e+00
205 1 0.000000000000000e+00
205 2 0.000000000000000e+00
246 0 0.000000000000000e+00
246 1 0.000000000000000e+00
246 2 0.000000000000000e+00
287 0 0.000000000000000e+00
287 1 0.000000000000000e+00
287 2 0.000000000000000e+00
328 0 0.000000000000000e+00
328 1 0.000000000000000e+00
328 2 0.000000000000000e+00
369 0 0.000000000000000e+00
369 1 0.000000000000000e+00
369 2 0.000000000000000e+00
410 0 0.000000000000000e+00
410 1 0.000000000000000e+00
410 2 0.000000000000000e+00
451 0 0.000000000000000e+00
451 1 0.000000000000000e+00
451 2 0.000000000000000e+00
492 0 0.000000000000000e+00
492 1 0.000000000000000e+00
492 2 0.000000000000000e+00
533 0 0.000000000000000e+00
533 1 0.000000000000000e+00
533 2 0.000000000000000e+00
574 0 0.000000000000000e+00
574 1 0.000000000000000e+00
574 2 0.000000000000000e+00
615 0 0.000000000000000e+00
615 1 0.000000000000000e+00
615 2 0.000000000000000e+00
656 0 0.000000000000000e+00
656 1 0.000000000000000e+00
656 2 0.000000000000000e+00
697 0 0.000000000000000e+00
697 1 0.000000000000000e+00
697 2 0.000000000000000e+00
738 0 0.000000000000000e+00
738 1 0.000000000000000e+00
738 2 0.000000000000000e+00
779 0 0.000000000000000e+00
779 1 0.000000000000000e+00
779 2 0.000000000000000e+00
820 0 0.000000000000000e+00
820 1 0.000000000000000e+00
820 2 0.000000000000000e+00
861 0 0.000000000000000e+00
861 1 0.000000000000000e+00
861 2 0.000000000000000e+00
902 0 0.000000000000000e+00
902 1 0.000000000000000e+00
902 2 0.000000000000000e+00
943 0 0.000000000000000e+00
943 1 0.000000000000000e+00
943 2 0.000000000000000e+00
